workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,baseline,3719.0,26888.948642108095,20351.0,37.37811409758734,25.0,16895.0,48.0,82.0,20351.0,29605.0,32,750
workloada,alaska,4507.0,22187.70800976259,20384.0,44.83908948194662,27.0,9255.0,57.0,82.0,20384.0,29658.0,1,850
workloada,alaska,4143.0,24137.098720733768,20441.0,41.66210068000587,32.0,18511.0,52.0,92.0,20441.0,29406.0,1,850
workloada,baseline,4725.0,21164.021164021164,20555.0,46.08207248844563,34.0,793.0,58.0,89.0,20555.0,29275.0,1,850
workloada,baseline,4097.0,24408.1034903588,20560.0,39.69046692607004,32.0,418.0,47.0,82.0,20560.0,29458.0,1,850
workloada,alaska,4371.0,22878.059940517043,20482.0,43.195195781661944,34.0,1577.0,58.0,90.0,20482.0,29650.0,2,850
workloada,alaska,4738.0,21105.951878429718,20662.0,47.638273158455135,32.0,22415.0,54.0,85.0,20662.0,29302.0,2,850
workloada,baseline,3720.0,26881.720430107525,20679.0,36.91948353402002,24.0,22735.0,48.0,81.0,20679.0,29657.0,2,850
workloada,baseline,4256.0,23496.24060150376,20582.0,41.72524536002332,25.0,14711.0,52.0,82.0,20582.0,29529.0,2,850
workloada,alaska,3461.0,28893.38341519792,20335.0,34.53508728792722,26.0,1590.0,44.0,74.0,20335.0,29706.0,4,850
workloada,alaska,4086.0,24473.813020068526,20206.0,41.58660793823617,33.0,16495.0,51.0,89.0,20206.0,29427.0,4,850
workloada,baseline,3595.0,27816.411682892907,20601.0,36.37469054900247,25.0,22815.0,50.0,80.0,20601.0,29427.0,4,850
workloada,baseline,4630.0,21598.272138228942,20494.0,45.83985556748316,25.0,14255.0,54.0,84.0,20494.0,29498.0,4,850
workloada,alaska,4258.0,23485.204321277593,20467.0,41.99638442370645,33.0,380.0,64.0,98.0,20467.0,29522.0,8,850
